"","id","class","new_classes","representative","Number_of_CDS","Number_of_exons","intron_in_UTR","overlaps"
"4799","maker_00165975_RA",4,"4","YES",4,4,"no","no"
"7075","maker_00171824_RA",6,"6","YES",2,2,"no","no"
"5289","maker_00167382_RA",6,"6","YES",7,7,"no","no"
"7821","mikado.Super_Scaffold_1000004G3590.1",6,"6","YES",1,1,"no","no"
"3017","maker_00173470_RD",3,"3","NO",1,2,"yes","no"
"8112","maker_00173814_RD",3,"3","NO",6,6,"no","no"
"665","maker_00167704_RA",6,"6","YES",2,2,"no","no"
"5960","maker_00169213_RB",3,"3","NO",20,22,"yes","no"
"3411","maker_00174249_RA",1,"1","NO",4,5,"yes","no"
"6437","maker_00170325_RA",6,"6","YES",6,6,"no","no"
"3799","maker_00174864_RE",3,"3","NO",7,10,"yes","no"
"1933","maker_00170921_RA",6,"6","YES",4,4,"no","no"
"5967","maker_00169213_RG",3,"3","NO",19,19,"no","no"
"9635","maker_00176520_RB",3,"3","NO",13,13,"no","no"
"2207","maker_00171545_RC",1,"1","NO",5,6,"yes","no"
"1709","maker_00170377_RA",6,"6","YES",2,2,"no","no"
"8740","mikado.Super_Scaffold_1000004G5381.1",6,"6","YES",1,1,"no","no"
"2174","maker_00171485_RA",3,"3","YES",3,3,"no","no"
"6514","maker_00170560_RA",6,"6","YES",3,3,"no","no"
"2495","maker_00172348_RB",3,"3","NO",8,8,"no","no"
"3054","maker_00173519_RA",6,"6","YES",1,1,"no","no"
"9714","mikado.Super_Scaffold_1000004G6817.3",5,"5C","YES",2,2,"no","no"
"3532","maker_00174391_RA",5,"5C","NO",2,3,"yes","no"
"4001","maker_00175191_RA",6,"6","YES",2,2,"no","no"
"1834","maker_00170676_RB",3,"3","YES",9,11,"yes","no"
"9145","maker_00175642_RH",1,"1","NO",13,14,"yes","yes"
"8732","maker_00174908_RD",5,"5C","YES",7,8,"yes","no"
"8214","maker_00173996_RA",4,"4","YES",1,1,"no","no"
"4078","maker_00175408_RH",2,"2C","NO",4,4,"no","no"
"10","maker_00165996_RA",6,"6","YES",1,1,"no","no"
"8648","maker_00174732_RD",5,"5C","NO",2,2,"no","no"
"2275","maker_00171774_RA",6,"6","YES",3,3,"no","no"
"8982","mikado.Super_Scaffold_1000004G5699.2",3,"3","YES",3,4,"yes","no"
"9760","maker_00176718_RC",3,"3","YES",2,2,"no","no"
"8973","mikado.Super_Scaffold_1000004G5696.5",3,"3","NO",8,8,"no","no"
"2845","maker_00173169_RD",1,"1","YES",10,10,"no","no"
"594","maker_00167524_RE",2,"2C","NO",5,7,"yes","no"
"5069","maker_00166762_RA",6,"6","YES",2,2,"no","no"
"178","maker_00166471_RA",5,"5C","YES",3,3,"no","no"
"3751","maker_00174786_RA",6,"6","YES",3,3,"no","no"
"884","maker_00168205_RA",6,"6","YES",6,6,"no","no"
"1638","maker_00170173_RA",6,"6","YES",2,2,"no","no"
"2999","maker_00173452_RC",3,"3","YES",3,5,"yes","no"
"1261","maker_00169260_RA",6,"6","YES",2,2,"no","no"
"8111","maker_00173814_RC",3,"3","NO",5,7,"yes","no"
"6941","maker_00171496_RD",3,"3","YES",6,7,"yes","no"
"2314","maker_00171883_RB",3,"3","YES",4,5,"yes","no"
"5966","maker_00169213_RF",3,"3","NO",18,18,"no","no"
"5300","maker_00167426_RA",6,"6","YES",1,1,"no","no"
"3840","maker_00174917_RD",1,"1","NO",1,2,"yes","no"
"8095","maker_00173793_RA",4,"4","YES",3,3,"no","no"
"1426","maker_00169641_RA",6,"6","YES",3,3,"no","no"
"5438","maker_00167859_RA",6,"6","YES",1,1,"no","no"
"668","maker_00167712_RA",6,"6","YES",6,6,"no","no"
"7692","maker_00172953_RA",5,"5F","YES",1,1,"no","no"
"5508","maker_00168061_RA",6,"6","YES",1,1,"no","no"
"5385","mikado.Super_Scaffold_1000004G795.1",5,"5F","YES",1,1,"no","no"
"1778","maker_00170512_RF",1,"1","NO",4,6,"yes","yes"
"6180","maker_00169738_RA",6,"6","YES",5,5,"no","no"
"9452","maker_00176181_RB",1,"1","NO",2,2,"no","no"
"9","maker_00165993_RA",6,"6","YES",4,4,"no","no"
"483","maker_00167230_RA",6,"6","YES",1,1,"no","no"
"5521","maker_00168112_RA",6,"6","YES",1,1,"no","no"
"1514","maker_00169844_RA",6,"6","YES",10,10,"no","no"
"3373","maker_00174106_RA",4,"4","YES",3,3,"no","no"
"7143","maker_00171963_RA",6,"6","YES",5,5,"no","no"
"5191","maker_00167155_RA",6,"6","YES",6,6,"no","no"
"3071","maker_00173589_RA",1,"1","YES",5,5,"no","yes"
"3767","maker_00174810_RA",6,"6","YES",3,3,"no","no"
"2255","maker_00171692_RA",6,"6","YES",3,3,"no","no"
"549","maker_00167405_RA",4,"4","YES",1,1,"no","no"
"1170","maker_00169023_RA",6,"6","YES",2,2,"no","no"
"2623","maker_00172680_RA",5,"5C","YES",8,8,"no","no"
"3256","maker_00173881_RB",1,"1","NO",3,6,"yes","no"
"2555","maker_00172520_RA",6,"6","YES",4,4,"no","no"
"4967","mikado.Super_Scaffold_1000004G330.1",2,"2C","YES",2,2,"no","no"
"1596","maker_00170067_RA",6,"6","YES",1,1,"no","no"
"5425","maker_00167815_RA",6,"6","YES",4,4,"no","no"
"6669","maker_00170847_RA",1,"1","NO",4,4,"no","no"
"6990","maker_00171606_RA",6,"6","YES",4,4,"no","no"
"2557","maker_00172527_RA",6,"6","YES",4,4,"no","no"
"2542","maker_00172472_RA",6,"6","YES",4,4,"no","yes"
"6213","maker_00169823_RA",6,"6","YES",4,4,"no","no"
"3282","maker_00173905_RA",6,"6","YES",1,1,"no","no"
"5677","maker_00168496_RA",6,"6","YES",5,5,"no","no"
"3938","maker_00175065_RG",1,"1","NO",20,21,"yes","no"
"7755","maker_00173085_RE",1,"1","YES",4,5,"yes","no"
"422","maker_00167011_RG",1,"1","NO",16,17,"yes","no"
"6759","maker_00171047_RA",6,"6","YES",1,1,"no","no"
"4157","maker_00175604_RA",3,"3","NO",5,7,"yes","no"
"7629","maker_00172794_RA",6,"6","YES",1,1,"no","no"
"9563","maker_00176352_RE",3,"3","NO",3,3,"no","no"
"6981","mikado.Super_Scaffold_1000004G2484.1",5,"5F","YES",1,1,"no","no"
"7042","maker_00171705_RA",6,"6","YES",3,3,"no","no"
"9209","maker_00175754_RA",5,"5C","YES",4,4,"no","no"
"3419","maker_00174267_RD",3,"3","NO",1,3,"yes","no"
"3717","maker_00174723_RD",1,"1","NO",7,7,"no","no"
"7583","mikado.Super_Scaffold_1000004G3187.1",5,"5F","YES",1,1,"no","no"
"3951","maker_00175073_RG",3,"3","NO",8,10,"yes","no"
"5067","mikado.Super_Scaffold_1000004G538.1",6,"6","YES",1,1,"no","no"
"104","maker_00166228_RA",6,"6","YES",3,3,"no","no"
"3719","maker_00174728_RA",6,"6","YES",3,3,"no","no"
"2110","maker_00171324_RA",4,"4","YES",1,1,"no","no"
"5791","maker_00168754_RA",6,"6","YES",5,5,"no","no"
"8556","maker_00174589_RD",5,"5C","NO",11,11,"no","no"
"7772","maker_00173131_RA",3,"3","NO",4,5,"yes","no"
"7549","maker_00172640_RA",4,"4","YES",3,3,"no","no"
"4913","mikado.Super_Scaffold_1000004G86.1",6,"6","YES",1,1,"no","no"
"3437","mikado.Super_Scaffold_1000004G4641.5",3,"3","NO",5,6,"yes","no"
"4685","maker_00176664_RB",3,"3","NO",3,4,"yes","no"
"5601","maker_00168341_RA",6,"6","YES",1,1,"no","no"
"3531","maker_00174388_RA",3,"3","YES",1,2,"yes","no"
"2926","maker_00173323_RA",6,"6","YES",3,3,"no","no"
"7926","maker_00173505_RF",3,"3","NO",3,3,"no","no"
"2101","maker_00171305_RA",6,"6","YES",2,2,"no","no"
"2814","mikado.Super_Scaffold_1000004G3442.1",5,"5C","YES",2,2,"no","no"
"2615","maker_00172652_RB",3,"3","NO",16,17,"yes","no"
"5463","maker_00167931_RA",6,"6","YES",1,1,"no","no"
"3528","maker_00174382_RH",3,"3","NO",7,9,"yes","no"
"2892","maker_00173262_RE",1,"1","NO",14,16,"yes","no"
"7568","maker_00172674_RA",6,"6","YES",2,2,"no","no"
"5394","maker_00167713_RA",6,"6","YES",1,1,"no","no"
"8340","maker_00174281_RF",3,"3","NO",3,4,"yes","no"
"8240","maker_00174047_RA",3,"3","NO",7,8,"yes","no"
"5106","maker_00166942_RA",6,"6","YES",3,3,"no","no"
"3924","maker_00175060_RD",1,"1","NO",14,15,"yes","no"
"3202","maker_00173769_RA",5,"5C","YES",9,10,"yes","no"
"5362","maker_00167621_RA",6,"6","YES",3,3,"no","no"
"8640","maker_00174708_RA",6,"6","YES",1,1,"no","no"
"3613","maker_00174559_RG",3,"3","NO",1,3,"yes","no"
"8617","maker_00174679_RC",1,"1","YES",3,3,"no","no"
"4417","maker_00176163_RA",4,"4","YES",3,3,"no","no"
"9412","maker_00176090_RA",6,"6","YES",3,3,"no","no"
"7824","maker_00173274_RA",6,"6","YES",1,1,"no","no"
"4670","mikado.Super_Scaffold_1000004G6838.2",5,"5C","YES",2,3,"yes","no"
"526","maker_00167352_RA",6,"6","YES",4,4,"no","no"
"4322","maker_00175962_RA",3,"3","YES",10,10,"no","no"
"9354","maker_00175994_RE",1,"1","NO",9,10,"yes","no"
"924","maker_00168300_RA",6,"6","YES",5,5,"no","no"
"6245","maker_00169908_RA",3,"3","NO",3,5,"yes","no"
"1532","maker_00169896_RA",6,"6","YES",1,1,"no","no"
"6116","maker_00169511_RA",6,"6","YES",2,2,"no","no"
"7290","maker_00172235_RA",6,"6","YES",2,2,"no","no"
"5519","maker_00168108_RA",6,"6","YES",3,3,"no","no"
"6510","maker_00170549_RA",6,"6","YES",2,2,"no","no"
"8042","maker_00173673_RA",6,"6","YES",4,4,"no","no"
"8961","maker_00175390_RA",5,"5F","YES",1,1,"no","no"
"5934","maker_00169150_RA",6,"6","YES",3,3,"no","no"
"7837","maker_00173296_RC",3,"3","YES",6,7,"yes","yes"
"3813","maker_00174875_RA",3,"3","YES",5,5,"no","no"
"9155","maker_00175647_RI",3,"3","NO",10,12,"yes","no"
"9998","maker_00235215_RA",6,"6","YES",2,2,"no","no"
"7278","mikado.Super_Scaffold_1000004G2897.1",6,"6","YES",1,1,"no","no"
"5119","maker_00166971_RA",6,"6","YES",6,6,"no","no"
"5611","maker_00168363_RA",6,"6","YES",2,2,"no","no"
"4390","maker_00176094_RH",3,"3","NO",27,29,"yes","no"
"681","maker_00167751_RA",6,"6","YES",2,2,"no","no"
"2113","maker_00171331_RA",6,"6","YES",6,6,"no","no"
"6040","maker_00169339_RE",3,"3","NO",5,5,"no","no"
"8079","maker_00173750_RE",3,"3","NO",2,4,"yes","no"
"9946","maker_00235100_RB",3,"3","NO",1,2,"yes","no"
"1606","maker_00170098_RC",3,"3","NO",6,7,"yes","no"
"3459","maker_00174300_RF",1,"1","NO",9,10,"yes","no"
"3588","maker_00174518_RB",3,"3","NO",9,11,"yes","no"
"3895","maker_00175026_RE",1,"1","NO",8,8,"no","no"
"4699","maker_00176696_RA",6,"6","YES",8,8,"no","no"
"6632","maker_00170767_RA",6,"6","YES",6,6,"no","no"
"4894","maker_00166243_RA",6,"6","YES",1,1,"no","no"
"3690","maker_00174698_RA",5,"5A","YES",2,2,"no","yes"
"8435","maker_00174398_RD",1,"1","NO",8,9,"yes","no"
"7540","maker_00172632_RE",3,"3","NO",9,9,"no","no"
"9933","maker_00235070_RE",1,"1","NO",5,5,"no","no"
"3207","mikado.Super_Scaffold_1000004G4092.6",5,"5C","YES",2,3,"yes","no"
"3901","maker_00175026_RI",1,"1","NO",6,6,"no","no"
"834","maker_00168104_RA",6,"6","YES",3,3,"no","no"
"6365","maker_00170197_RA",6,"6","YES",8,8,"no","no"
"6279","maker_00169998_RE",3,"3","NO",8,8,"no","no"
"6128","maker_00169551_RA",6,"6","YES",1,1,"no","no"
"3933","maker_00175065_RB",1,"1","NO",20,22,"yes","no"
"1420","maker_00169632_RA",6,"6","YES",4,4,"no","no"
"2998","maker_00173452_RA",5,"5C","NO",4,4,"no","no"
"650","maker_00167664_RA",6,"6","YES",9,9,"no","no"
"3876","maker_00175013_RA",6,"6","YES",3,3,"no","no"
"6191","maker_00169772_RA",6,"6","YES",1,1,"no","no"
"1551","maker_00169930_RF",3,"3","NO",8,8,"no","no"
"6108","maker_00169488_RA",6,"6","YES",4,4,"no","no"
"8311","mikado.Super_Scaffold_1000004G4515.1",6,"6","YES",1,1,"no","no"
"4928","mikado.Super_Scaffold_1000004G174.1",6,"6","YES",1,1,"no","no"
"8951","maker_00175380_RD",1,"1","NO",2,3,"yes","no"
"8913","maker_00175259_RE",3,"3","NO",1,4,"yes","no"
"5047","maker_00166659_RA",6,"6","YES",1,2,"yes","no"
"5630","maker_00168401_RA",6,"6","YES",4,4,"no","no"
"3002","maker_00173452_RF",3,"3","NO",3,3,"no","no"
"8976","maker_00175396_RG",3,"3","NO",7,7,"no","no"
"9403","mikado.Super_Scaffold_1000004G6248.1",5,"5F","YES",1,1,"no","no"
"1127","maker_00168921_RA",6,"6","YES",4,4,"no","no"
"4027","maker_00175294_RA",5,"5C","YES",3,3,"no","no"
"2168","maker_00171457_RA",6,"6","YES",2,2,"no","no"
"4775","maker_00176893_RA",6,"6","YES",1,1,"no","no"
"8848","mikado.Super_Scaffold_1000004G5553.1",6,"6","YES",1,1,"no","no"
"653","maker_00167670_RA",6,"6","YES",3,3,"no","no"
"6377","maker_00170211_RA",6,"6","YES",1,1,"no","no"
